## Torsion are defined with the following atomIDs:
# dihed1: ai= 5185 aj= 3156 ak= 3178 al= 3155
# dihed2: ai= 3156 aj= 3178 ak= 3153 al= 3169
# dihed3: ai= 3152 aj= 3167 ak= 3166 al= 3165
# dihed4: ai= 3170 aj= 3168 ak= 3172 al= 3175
# dihed5: ai= 3162 aj= 3161 ak= 3157 al= 3151
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
281  -57.761 -107.417   80.338  148.939  -52.592
282  -55.253 -101.320   85.562  124.980  -51.889
283  -60.996 -125.775   83.696  142.014  -72.546
284  -50.192  -93.729   61.302  140.008  -63.793
285  -58.626 -115.141   70.245  131.943  -64.648
286  -53.801 -106.784   69.794  134.796  -63.384
287  -56.248 -121.255   64.993  154.361  -53.451
288  -70.674 -106.191   69.487  143.591  -67.148
289  -66.957 -117.377   78.750  126.627  -74.291
290  -67.033 -114.322   85.021  143.484  -68.608
291  -61.826 -112.169   84.618  138.525  -65.981
292  -78.305 -120.278   66.978  146.958  -56.350
293  -54.965 -103.090   91.346  140.491  -61.323
294  -76.105 -120.394   77.209  131.015  -61.342
295  -54.043 -103.361   69.782  138.387  -67.855
296  -63.106 -119.749   75.860  136.972  -61.544
297  -58.750 -105.643   89.981  147.903  -69.131
298  -59.253 -111.527   58.807  148.996  -59.746
299  -19.848  -87.129   70.554  131.638  -64.586
300  -53.388 -108.797   85.241  135.392  -49.280
301  -25.145  -96.999   79.363  135.170  -48.883
302  -57.136 -116.292   99.551  131.362  -61.921
303  -78.568 -126.538   74.252  140.419  -56.222
304  -49.791 -101.068   65.267  147.255  -57.767
305  -61.694 -115.105   69.706  138.543  -53.446
306  -72.410 -108.383   85.044  134.945  -65.771
307  -52.580  -99.263   74.276  143.150  -45.022
308  -57.494 -107.811   67.931  136.919  -65.430
309  -53.963 -104.656   74.502  141.981  -55.297
310  -70.302 -126.558   71.362  134.447  -57.242
311  -42.811  -98.156   74.376  151.786  -50.421
312  -67.470 -120.854   73.799  136.956  -52.216
313  -28.763 -106.756   71.437  141.452  -58.225
314  -51.905 -107.268   75.293  138.696  -63.670
315  -42.557 -110.240   62.256  143.259  -74.306
316  -57.408 -115.012   71.677  139.931  -71.442
317  -61.726 -123.826   60.815  136.408  -68.187
318  -38.170  -87.347   70.755  145.635  -56.613
319  -41.460 -110.194   62.999  138.005  -68.285
320  -48.074 -100.313   78.231  130.717  -52.816
321  -61.465 -108.403   63.855  146.794  -59.486
322  -45.569  -91.531   67.426  145.079  -54.544
323  -51.049  -93.759   63.586  141.913  -51.106
324  -53.986 -106.101   66.036  143.372  -44.746
325  -58.616  -95.365   73.006  136.024  -54.944
326  -53.833 -115.237   68.710  151.409  -53.956
327  -57.819  -92.973   57.158  161.615  -52.775
328  -42.292  -93.222   72.925  152.219  -62.615
329  -47.249 -121.097   73.186  153.732  -56.291
330  -57.922  -97.257   61.231  149.354  -50.177
331  -51.896  -96.612   61.359  153.833  -52.669
332  -44.981 -113.683   61.102  139.855  -82.356
333  -64.956 -112.459   89.820  152.999  -59.294
334  -40.616 -101.030   65.709  131.554  -51.871
335  -52.534 -107.871   55.955  146.844  -49.740
336  -46.241 -100.098   54.167  135.560  -57.260
337  -52.090 -105.781   54.552  151.627  -57.170
338  -62.672 -110.472   71.343  135.114  -54.298
339  -72.028 -118.289   73.305  130.621  -57.805
340  -48.260  -87.618   81.723  143.959  -69.302
341  -40.598 -113.116   54.552  144.768  -48.931
342  -67.072 -114.612   85.576  138.988  -71.769
343  -61.659  -90.404   76.138  142.493  -60.436
344  -38.099 -116.282   60.482  130.292  -54.364
345  -34.625 -106.431   62.609  149.172  -67.290
346  -67.387  -98.738   63.379  145.964  -60.831
347  -79.065 -123.648   61.795  140.751  -54.123
348  -47.584 -113.573   58.502  145.355  -51.198
349  -60.407 -104.613   61.551  150.559  -52.711
350  -53.937  -98.103   60.688  141.651  -44.889
351  -61.182 -119.550   78.601  131.509  -65.510
352  -46.558 -111.815   73.759  148.830  -68.504
353  -51.618 -109.592   88.295  138.844  -93.757
354  -27.569 -102.330   78.151  143.904  -63.239
355  -52.189 -112.707   76.965  135.899  -64.823
356  -67.173 -124.393   59.274  135.397  -52.076
357  -55.988 -113.589   71.965  156.457  -70.358
358  -55.027 -106.121   84.601  147.315  -51.139
359  -51.501 -100.236   74.008  147.243  -63.424
