  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      338        0.673        4.738            0      424.437      300.239      205.475
      339        0.580        4.688            0      424.174      308.374      202.135
      340        0.792        4.667            0      418.593      324.839      201.863
      341        0.697        4.648            0      419.159      330.125      200.371
      342        0.686        4.740            1      428.397      331.831      201.899
      343        0.779        4.708            0      427.743      321.705      202.300
      344        0.602        4.669            0      421.579      348.167      196.996
      345        0.722        4.658            0      421.778      332.148      205.230
      346        0.636        4.714            0      426.284      336.385      201.597
      347        0.609        4.711            0      422.907      320.069      204.010
      348        0.653        4.716            1      427.725      337.876      207.596
      349        0.677        4.739            1      425.307      307.975      200.435
      350        0.663        4.723            1      425.776      316.155      200.295
      351        0.659        4.691            1      422.067      292.104      196.389
      352        0.727        4.724            1      426.895      247.965      203.727
      353        0.750        4.777            0      431.758      286.752      204.841
      354        0.730        4.695            0      424.686      373.902      201.020
      355        0.644        4.738            1      424.042      320.611      199.689
      356        0.557        4.716            1      425.579      335.939      198.952
      357        0.750        4.707            0      425.402      292.214      200.125
      358        0.803        4.677            1      424.857      321.186      200.128
      359        0.638        4.643            0      420.245      320.023      198.543
      360        0.554        4.694            0      424.818      355.190      207.395
      361        0.639        4.722            0      425.781      327.367      204.167
      362        0.569        4.693            1      422.288      332.866      207.646
      363        0.699        4.684            0      424.338      338.884      201.217
      364        0.800        4.661            0      423.825      351.653      193.921
      365        0.622        4.667            0      422.246      329.638      208.865
      366        0.632        4.706            0      425.346      340.070      201.122
      367        0.649        4.699            0      423.124      331.873      202.295
      368        0.632        4.725            0      428.218      335.113      204.100
      369        0.744        4.775            0      430.083      336.208      203.757
      370        0.658        4.711            1      423.280      337.203      200.865
      371        0.723        4.691            1      423.213      298.942      193.742
      372        0.658        4.694            0      426.131      347.130      198.712
      373        0.737        4.635            1      421.120      319.593      195.932
      374        0.700        4.698            0      425.147      347.527      209.548
      375        0.797        4.697            0      425.685      359.870      203.641
      376        0.717        4.741            0      429.031      328.461      206.832
      377        0.686        4.715            0      425.524      342.183      205.874
      378        0.728        4.735            0      429.520      361.157      205.119
      379        0.697        4.692            0      422.780      301.412      207.351
      380        0.689        4.747            0      428.731      316.725      209.048
      381        0.785        4.655            0      425.576      311.378      205.164
      382        0.638        4.727            0      425.442      330.370      201.358
      383        0.605        4.632            0      417.544      325.058      199.104
      384        0.569        4.699            0      424.379      348.009      198.487
      385        0.493        4.673            0      421.159      366.660      197.429
      386        0.715        4.685            0      422.354      319.738      201.609
      387        0.716        4.656            1      421.014      370.225      200.465
      388        0.679        4.694            0      421.603      341.500      198.742
      389        0.628        4.695            1      424.527      318.375      203.178
      390        0.610        4.696            1      423.872      322.437      199.612
      391        0.676        4.699            0      422.962      350.349      201.096
      392        0.655        4.704            0      422.797      321.593      201.688
      393        0.753        4.638            0      420.019      346.354      198.405
      394        0.634        4.719            0      425.406      378.311      199.366
      395        0.580        4.700            1      426.316      351.136      196.265
      396        0.670        4.654            0      420.028      296.220      197.234
      397        0.697        4.687            1      420.615      296.914      194.988
      398        0.635        4.724            1      425.717      343.766      201.296
      399        0.645        4.668            0      421.691      312.948      199.620
      400        0.782        4.731            0      426.920      286.486      203.945
      401        0.684        4.675            0      418.761      279.198      197.426
      402        0.598        4.746            0      428.154      296.372      209.758
      403        0.640        4.712            0      428.768      293.681      201.442
      404        0.668        4.686            0      421.728      312.032      204.370
      405        0.721        4.694            0      423.532      311.250      201.712
      406        0.705        4.714            0      424.776      323.500      200.679
      407        0.732        4.704            1      425.618      329.625      203.836
      408        0.711        4.708            0      426.873      364.286      205.744
      409        0.658        4.715            0      425.291      339.758      198.466
      410        0.670        4.728            0      424.352      298.830      204.882
      411        0.640        4.689            0      423.010      304.145      203.070
      412        0.689        4.749            1      426.120      293.813      201.807
      413        0.617        4.745            0      427.678      338.331      198.637
      414        0.626        4.765            0      429.112      378.312      200.914
      415        0.631        4.673            1      424.481      288.942      203.866
      416        0.566        4.637            0      420.190      327.614      201.929
      417        0.657        4.715            1      428.446      325.280      203.098
      418        0.784        4.653            1      424.029      357.729      203.665
      419        0.611        4.710            0      425.009      303.400      201.230
      420        0.663        4.697            0      422.904      317.624      203.483
      421        0.673        4.713            1      425.576      331.713      198.944
      422        0.733        4.748            0      427.185      293.670      198.672
      423        0.723        4.690            0      424.659      296.355      202.751
      424        0.728        4.703            0      422.872      302.588      201.625
      425        0.681        4.680            0      422.170      294.088      201.841
      426        0.664        4.676            0      424.787      344.866      205.389
      427        0.706        4.674            0      424.897      353.649      202.083
      428        0.721        4.719            0      426.611      336.297      203.623
      429        0.758        4.628            1      421.633      376.674      199.324
      430        0.795        4.658            0      424.994      401.732      201.620
      431        0.666        4.669            1      422.976      357.062      199.392
      432        0.835        4.718            0      427.941      341.361      204.876
      433        0.631        4.684            1      424.999      331.113      197.834
      434        0.677        4.716            0      427.233      360.928      202.030
      435        0.718        4.662            0      423.598      346.227      198.767
      436        0.663        4.640            0      420.866      307.938      203.894
      437        0.631        4.713            1      426.289      325.550      199.056
      438        0.652        4.661            0      421.230      352.677      200.728
      439        0.721        4.701            0      425.734      328.424      201.336
      440        0.768        4.673            1      417.774      343.842      196.808
      441        0.612        4.709            0      424.617      352.074      202.376
      442        0.678        4.719            0      425.763      336.373      201.934
      443        0.711        4.690            0      423.035      333.685      202.045
      444        0.687        4.708            0      424.607      331.145      201.729
      445        0.668        4.663            0      420.009      323.775      203.133
      446        0.609        4.720            1      426.204      334.742      200.597
      447        0.640        4.710            0      425.165      304.082      203.769
      448        0.834        4.682            0      419.322      282.276      196.213
      449        0.658        4.667            1      421.218      318.665      202.586
      450        0.717        4.751            1      430.246      342.962      202.339
      451        0.675        4.708            0      428.520      362.811      203.193
      452        0.640        4.703            0      427.213      341.300      199.352
      453        0.685        4.689            0      425.638      319.537      202.075
      454        0.588        4.702            1      424.720      337.865      200.326
      455        0.655        4.715            0      426.147      370.404      202.034
      456        0.731        4.688            0      425.614      316.536      203.533
      457        0.992        4.630            0      425.085      307.526      201.045
      458        0.696        4.651            0      423.475      343.878      197.794
      459        0.871        4.666            0      422.193      283.214      205.373
      460        0.650        4.753            0      427.818      340.065      201.154
      461        0.802        4.709            1      428.159      344.706      204.384
      462        0.566        4.668            1      419.550      338.286      200.721
      463        0.717        4.693            0      423.917      313.735      197.673
      464        0.724        4.710            0      424.330      360.763      206.060
      465        0.718        4.687            0      421.255      313.055      200.039
      466        0.672        4.648            0      417.612      372.680      200.464
      467        0.676        4.699            1      425.155      345.789      200.115
      468        0.733        4.723            1      426.378      354.803      197.728
      469        0.703        4.679            1      419.330      290.270      201.278
      470        0.752        4.712            0      427.191      363.251      207.066
      471        0.607        4.607            0      418.778      379.365      198.315
      472        0.598        4.673            0      426.640      380.000      204.946
      473        0.618        4.670            0      425.256      366.553      204.177
      474        0.663        4.691            0      425.495      346.677      200.832
      475        0.688        4.687            0      428.251      353.965      206.202
      476        0.686        4.676            0      419.013      333.008      191.039
      477        0.683        4.710            1      427.647      372.194      199.067
      478        0.664        4.703            1      426.624      340.902      207.206
      479        0.596        4.736            1      425.146      346.617      199.403
      480        0.719        4.686            0      425.061      349.112      206.973
      481        0.688        4.679            1      426.284      363.159      197.349
      482        0.728        4.697            1      424.930      337.435      197.591
      483        0.794        4.685            1      422.835      356.406      203.532
      484        0.580        4.734            0      426.168      357.185      203.243
      485        0.670        4.717            1      425.343      327.744      199.989
      486        0.636        4.690            0      422.351      328.971      199.984
      487        0.693        4.724            0      427.346      296.078      200.141
      488        0.625        4.712            1      422.982      300.485      204.352
      489        0.589        4.673            1      423.328      334.481      199.429
      490        0.746        4.692            0      426.456      315.681      206.632
      491        0.673        4.694            0      425.010      361.529      201.440
      492        0.704        4.712            0      423.917      324.519      202.735
      493        0.713        4.694            1      426.182      342.414      197.682
      494        0.681        4.696            1      424.061      306.514      201.375
      495        0.665        4.665            0      425.136      345.672      200.670
      496        0.643        4.653            1      420.289      322.114      198.220
      497        0.622        4.703            0      426.260      352.833      203.539
      498        0.677        4.689            0      422.577      314.312      202.880
      499        0.629        4.768            0      430.801      312.250      204.981
      500        0.662        4.725            0      427.486      324.186      200.852
      501        0.724        4.709            0      424.310      308.754      204.097
      502        0.611        4.676            0      422.270      331.025      195.120
      503        0.657        4.720            0      428.845      347.072      201.103
      504        0.649        4.738            0      427.566      298.412      204.345
      505        0.733        4.699            0      423.255      323.435      201.124
      506        0.632        4.700            0      424.613      311.552      200.572
      507        0.697        4.673            0      421.380      312.214      201.644
      508        0.718        4.667            1      423.149      306.488      200.684
      509        0.918        4.703            1      429.497      333.301      200.904
      510        0.734        4.681            0      422.609      301.164      199.996
      511        0.625        4.712            0      425.614      332.111      204.750
      512        0.622        4.707            0      424.896      327.193      201.310
      513        0.723        4.669            0      421.587      319.125      198.377
      514        0.783        4.761            0      425.984      305.891      201.867
      515        0.739        4.658            0      421.669      284.203      212.061
      516        0.754        4.751            0      427.311      273.028      202.514
      517        0.760        4.744            0      427.239      315.132      199.469
      518        0.671        4.652            0      420.959      316.983      200.872
      519        0.704        4.715            1      426.214      310.007      195.992
      520        0.735        4.712            0      425.958      310.585      201.992
      521        0.674        4.712            0      424.119      300.167      202.589
      522        0.668        4.702            0      425.925      309.556      204.280
      523        0.637        4.708            0      422.937      342.189      198.577
      524        0.931        4.688            0      422.224      277.921      202.877
      525        0.775        4.712            0      425.549      326.330      199.477
      526        0.740        4.687            0      423.708      349.761      204.456
      527        0.743        4.678            0      425.199      346.903      203.679
      528        0.677        4.737            0      423.490      332.986      196.216
      529        0.675        4.722            1      426.538      327.743      201.715
      530        0.755        4.703            0      427.212      320.064      199.881
      531        0.795        4.679            0      425.842      314.549      211.296
      532        0.746        4.753            1      429.224      325.290      203.581
      533        0.651        4.645            0      420.438      293.712      202.512
      534        0.730        4.729            1      427.443      338.222      198.348
      535        0.727        4.701            1      425.769      316.050      196.529
      536        0.582        4.668            0      424.374      351.666      202.309
      537        0.638        4.699            0      423.422      349.993      204.217
      538        0.746        4.712            0      422.937      323.872      205.259
      539        0.641        4.689            0      426.269      346.459      199.754
      540        0.689        4.752            0      425.916      350.347      203.298
      541        0.763        4.683            0      425.483      366.995      200.481
      542        0.682        4.708            0      426.762      332.748      204.135
      543        0.678        4.736            1      426.409      317.386      200.258
      544        0.646        4.724            0      425.369      356.910      206.486
      545        0.609        4.670            0      420.345      321.363      201.561
      546        0.732        4.716            1      421.739      306.304      201.137
      547        0.723        4.715            0      426.238      345.713      203.320
      548        0.740        4.772            0      431.311      340.134      197.770
      549        0.712        4.696            0      425.662      334.281      205.216
      550        0.695        4.680            0      425.876      356.901      201.969
      551        0.625        4.719            0      424.856      348.706      203.575
      552        0.592        4.682            1      425.214      318.667      200.555
      553        0.579        4.694            0      425.117      386.249      202.662
